pdf_page,observed_folio,image,image_sha256,baseline_status,secure_baselines
49,,ledger-images/page-049.jpg,efe63c4fa1c5bb01421daeda5a139a140d6ade7655c8d9d24d8da1bed7b05b62,unsegmented,0
50,,ledger-images/page-050.jpg,684e6aaef4522ef3b5827d72b9b4ce478128ccfbde4dcbe5c432b424434b1942,unsegmented,0
51,,ledger-images/page-051.jpg,743d8a254624ab1b32ebf5ff58ae4ec61189cc3af387dcbb8afe2c2c84552823,unsegmented,0
52,,ledger-images/page-052.jpg,ddc67bd8d59f4dfad1e83134e7d54c1f61ec6ab042fdc11b4cf4ec3a222daa3b,unsegmented,0
53,,ledger-images/page-053.jpg,0e6621cb7cfd1866b7e4da3622a98a1c1f0be8cf23743ffdde420d3cef08680d,unsegmented,0
54,,ledger-images/page-054.jpg,829f84d2ffd2de265d79fe1bfdf952b820b60fa6bf7b4a4e7ab5ef804fbf3e73,unsegmented,0
55,,ledger-images/page-055.jpg,dcdff751e4ffc5b60611cf91ea72c1ae54d72a53025f2ee428d73bb02cf87739,unsegmented,0
56,,ledger-images/page-056.jpg,fa53d9af8d7f3a799aff8b09dd1f6942559c0a1df51cc2adf4d197812aa5ffef,unsegmented,0
57,,ledger-images/page-057.jpg,e775aa25e025ace23b493f959f97730f127a0f08aaea00807bc0472f03988ae6,unsegmented,0
58,,ledger-images/page-058.jpg,b56974961ae068adfc6dbbaa6633ca733fcdf9844f1fed8a3cfd5dd6dcfa2062,unsegmented,0
59,,ledger-images/page-059.jpg,9eda717c3052d94aee29fc663339ef8ab6b49e70790e864d4102544aa93e0e76,unsegmented,0
60,,ledger-images/page-060.jpg,2751d35e61ab66f8a4edf5a146afeba40031dc140f0519bfd9bfa0b6751860db,unsegmented,0
61,,ledger-images/page-061.jpg,6b94c59e7a203b0bf15f1ede50c54e98154e612fb1f754973c52dda14623965f,unsegmented,0
62,,ledger-images/page-062.jpg,71ee5946d39da27e86dd119db44be1cf7ebf64cbc339d443c9997f099000c0dd,unsegmented,0
63,,ledger-images/page-063.jpg,4b0de19cd30f39cafd794a06c4692f1a4c3327141e1806e1633b2bb7e3baad71,unsegmented,0
64,,ledger-images/page-064.jpg,a1fe247d3a30d23bb054874e38e13d14d34a86dfb154eb0e627e4bd4153034c7,unsegmented,0
65,,ledger-images/page-065.jpg,a375ea832de510b677042b2a2f2ccdff17f30854b2a76f5f4290b3349fe2ced4,unsegmented,0
